Bill,Perk,MasterCard-Perk,MasterCard-Tesco,Amex-Tesco,Amex-Perk,Optimal
84,80.64,80.34,81.99,83.16,79.84,Amex-Perk
85,81.6,81.3,82.96,84.15,80.78999999999999,Amex-Perk
86,82.56,82.26,83.96,85.14,81.74000000000001,Amex-Perk
87,83.52,83.22,84.93,86.13,82.69,Amex-Perk
88,84.47999999999999,84.17999999999999,85.9,87.12,83.63999999999999,Amex-Perk
89,85.44,85.14,86.87,88.11,84.59,Amex-Perk
90,86.39999999999999,86.1,87.84,89.1,85.53999999999999,Amex-Perk
91,87.36,87.06,88.84,90.09,86.49,Amex-Perk
92,88.32,87.99,89.81,91.08,87.44,Amex-Perk
93,89.28,88.95,90.78,92.07,88.39,Amex-Perk
94,90.24,89.91,91.75,93.06,89.33999999999999,Amex-Perk
95,91.2,90.87,92.72,94.05,90.29,Amex-Perk
96,92.16,91.83,93.72,95.04,91.24,Amex-Perk
97,93.11999999999999,92.78999999999999,94.69,96.03,92.18999999999998,Amex-Perk
98,94.08,93.75,95.66,97.02,93.14,Amex-Perk
99,95.03999999999999,94.71,96.63,98.01,94.08999999999999,Amex-Perk
100,96.0,95.64,97.6,99.0,95.04,Amex-Perk
101,96.96,96.6,98.6,99.99,96.0,Amex-Perk
102,97.92,97.56,99.57,100.98,96.95,Amex-Perk
103,98.88,98.52,100.54,101.97,97.89999999999999,Amex-Perk
104,99.84,99.48,101.51,102.96,98.85000000000001,Amex-Perk
105,100.8,100.44,102.48,103.95,99.8,Amex-Perk
106,101.75999999999999,101.39999999999999,103.48,104.94,100.74999999999999,Amex-Perk
107,102.72,102.36,104.45,105.93,101.7,Amex-Perk
108,103.67999999999999,103.32,105.42,106.92,102.64999999999999,Amex-Perk
109,104.64,104.25,106.39,107.91,103.6,Amex-Perk
110,105.6,105.21,107.36,108.9,104.55,Amex-Perk
111,106.56,106.17,108.36,109.89,105.5,Amex-Perk
112,107.52,107.13,109.33,110.88,106.45,Amex-Perk
113,108.47999999999999,108.08999999999999,110.3,111.87,107.39999999999999,Amex-Perk
114,109.44,109.05,111.27,112.86,108.35,Amex-Perk
115,110.39999999999999,110.00999999999999,112.24,113.85,109.3,Amex-Perk
116,111.36,110.97,113.24,114.84,110.25,Amex-Perk
